epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,388.544,0.44041,0.3177,0.96939,0.99525,0.96787,0.99184,0.87233,0.57626,0.32556,1.02934,0.000608468,0.000608468,0.000608468
89,392.884,0.4214,0.31195,0.92583,0.99419,0.96676,0.991,0.87833,0.56189,0.31981,1.01915,0.000599037,0.000599037,0.000599037
90,397.57,0.43887,0.32321,0.92639,0.99691,0.96514,0.98955,0.87137,0.54144,0.33672,0.99989,0.000589605,0.000589605,0.000589605
91,401.864,0.43156,0.33967,0.96058,0.98845,0.9555,0.99216,0.86258,0.55967,0.338,1.01187,0.000580174,0.000580174,0.000580174
92,406.148,0.38994,0.30201,0.90784,0.99017,0.94759,0.99126,0.86188,0.57648,0.34359,1.02368,0.000570743,0.000570743,0.000570743
93,410.422,0.44287,0.31813,0.91557,0.99,0.94856,0.99169,0.86034,0.57769,0.33178,1.02429,0.000561311,0.000561311,0.000561311
94,414.783,0.43781,0.31374,0.94266,0.99226,0.96143,0.98928,0.87339,0.54524,0.32535,1.00458,0.00055188,0.00055188,0.00055188
95,419.117,0.42428,0.30889,0.92764,0.99551,0.96329,0.99021,0.87662,0.54543,0.32263,0.99914,0.000542448,0.000542448,0.000542448
96,423.711,0.4109,0.31622,0.91706,0.99495,0.96329,0.98323,0.84906,0.57983,0.35158,1.01665,0.000533017,0.000533017,0.000533017
97,427.98,0.40592,0.2952,0.92273,0.99455,0.96329,0.9824,0.84774,0.58339,0.36529,1.01901,0.000523586,0.000523586,0.000523586
98,432.261,0.42228,0.30008,0.92962,0.99388,0.96329,0.98323,0.86599,0.54673,0.3504,1.00539,0.000514154,0.000514154,0.000514154
99,436.568,0.38663,0.28677,0.92043,0.99377,0.96687,0.99015,0.86435,0.57439,0.3474,1.01981,0.000504723,0.000504723,0.000504723
100,440.823,0.41944,0.30351,0.93177,0.995,0.96769,0.99244,0.86564,0.58047,0.32504,1.03145,0.000495291,0.000495291,0.000495291
101,445.06,0.41157,0.2961,0.91881,0.99306,0.97148,0.99384,0.86006,0.5754,0.31684,1.02465,0.00048586,0.00048586,0.00048586
102,449.355,0.4093,0.29996,0.93265,0.99735,0.98327,0.995,0.85819,0.57028,0.31882,1.02517,0.000476429,0.000476429,0.000476429
103,453.827,0.40117,0.28567,0.91394,0.97788,0.99666,0.995,0.87263,0.5767,0.32875,1.0291,0.000466997,0.000466997,0.000466997
104,458.121,0.39905,0.28853,0.91567,0.99757,0.96702,0.995,0.87451,0.57085,0.33249,1.02264,0.000457566,0.000457566,0.000457566
105,462.713,0.37724,0.2896,0.91831,0.99329,0.97129,0.995,0.88204,0.55124,0.31194,1.00725,0.000448134,0.000448134,0.000448134
106,466.999,0.36262,0.28259,0.94274,0.97162,0.99603,0.995,0.87494,0.55046,0.30518,1.01112,0.000438703,0.000438703,0.000438703
107,471.306,0.37212,0.28934,0.9105,0.99699,0.96493,0.99184,0.87899,0.57509,0.30692,1.03948,0.000429272,0.000429272,0.000429272
108,475.576,0.36123,0.26562,0.88995,0.99655,0.9651,0.991,0.86153,0.58841,0.33488,1.04758,0.00041984,0.00041984,0.00041984
109,479.889,0.34212,0.26854,0.89961,0.99613,0.96519,0.99184,0.8684,0.56821,0.34034,1.0303,0.000410409,0.000410409,0.000410409
110,484.137,0.38051,0.28055,0.90813,0.9962,0.96512,0.99278,0.87329,0.5312,0.3138,1.00748,0.000400977,0.000400977,0.000400977
111,488.39,0.40552,0.29523,0.93546,0.99534,0.96547,0.99278,0.87279,0.55656,0.30485,1.03937,0.000391546,0.000391546,0.000391546
112,492.64,0.37861,0.276,0.921,0.99532,0.9651,0.99278,0.86699,0.58386,0.30981,1.07274,0.000382115,0.000382115,0.000382115
113,496.982,0.37485,0.28102,0.92419,0.99498,0.96525,0.99278,0.86527,0.57176,0.30855,1.06587,0.000372683,0.000372683,0.000372683
114,501.487,0.36775,0.26755,0.90403,0.99397,0.96591,0.99278,0.86459,0.56494,0.29984,1.07065,0.000363252,0.000363252,0.000363252
115,505.849,0.3586,0.26887,0.88634,0.99333,0.96657,0.99278,0.85927,0.58697,0.2924,1.08592,0.00035382,0.00035382,0.00035382
116,510.213,0.34778,0.26078,0.90116,0.99465,0.9672,0.99382,0.88035,0.57671,0.29601,1.0706,0.000344389,0.000344389,0.000344389
117,514.501,0.36062,0.27309,0.91206,0.99493,0.96784,0.99382,0.87863,0.56487,0.29289,1.05639,0.000334958,0.000334958,0.000334958
118,518.887,0.34885,0.25536,0.91529,0.99572,0.96577,0.99278,0.88783,0.57268,0.28037,1.06775,0.000325526,0.000325526,0.000325526
119,523.291,0.35649,0.27516,0.89797,0.99583,0.96551,0.99278,0.86619,0.58647,0.29266,1.05993,0.000316095,0.000316095,0.000316095
120,527.525,0.34985,0.27057,0.90647,0.99557,0.96564,0.99278,0.8726,0.55432,0.29372,1.02075,0.000306663,0.000306663,0.000306663
121,531.783,0.3232,0.25275,0.89473,0.99532,0.96551,0.99278,0.87032,0.54795,0.28469,1.00962,0.000297232,0.000297232,0.000297232
122,536.032,0.37401,0.26118,0.89615,0.99626,0.96534,0.99382,0.87726,0.55182,0.28511,1.01152,0.000287801,0.000287801,0.000287801
123,540.294,0.3719,0.26468,0.90425,0.97864,0.99444,0.995,0.86587,0.57973,0.28323,1.04107,0.000278369,0.000278369,0.000278369
124,544.552,0.34242,0.26011,0.91985,0.97947,0.99364,0.995,0.87782,0.56162,0.28301,1.03446,0.000268938,0.000268938,0.000268938
125,548.715,0.35823,0.26397,0.89811,0.97751,0.99458,0.995,0.88365,0.55647,0.28079,1.03552,0.000259506,0.000259506,0.000259506
126,552.929,0.33981,0.24319,0.88994,0.97605,0.99406,0.995,0.87984,0.55952,0.28322,1.03944,0.000250075,0.000250075,0.000250075
127,557.26,0.31733,0.24102,0.91442,0.99216,0.96965,0.99278,0.87006,0.57302,0.28858,1.04217,0.000240644,0.000240644,0.000240644
128,561.514,0.34809,0.26645,0.91772,0.99016,0.97278,0.99382,0.8697,0.57834,0.27674,1.0411,0.000231212,0.000231212,0.000231212
129,565.884,0.34835,0.26374,0.91186,0.99011,0.97269,0.99278,0.85801,0.57728,0.28226,1.04066,0.000221781,0.000221781,0.000221781
130,570.203,0.32444,0.24518,0.89022,0.99275,0.96967,0.99278,0.85887,0.57696,0.28284,1.04242,0.000212349,0.000212349,0.000212349
131,574.455,0.33937,0.26161,0.91018,0.99449,0.96842,0.99278,0.87398,0.58837,0.28692,1.05606,0.000202918,0.000202918,0.000202918
132,578.685,0.29305,0.22867,0.86433,0.99589,0.96702,0.99278,0.87465,0.57459,0.28361,1.04954,0.000193487,0.000193487,0.000193487
133,582.93,0.32159,0.24101,0.90365,0.99688,0.96632,0.99278,0.88419,0.56426,0.2783,1.04022,0.000184055,0.000184055,0.000184055
134,587.227,0.29419,0.22762,0.88603,0.99664,0.96603,0.99278,0.88403,0.55013,0.28215,1.03042,0.000174624,0.000174624,0.000174624
135,591.524,0.33325,0.24852,0.90484,0.99635,0.96653,0.99184,0.87573,0.55391,0.273,1.03846,0.000165192,0.000165192,0.000165192
136,595.817,0.32687,0.24121,0.88136,0.99677,0.96622,0.99278,0.87345,0.55777,0.26922,1.04337,0.000155761,0.000155761,0.000155761
137,600.091,0.3373,0.26064,0.911,0.99643,0.96639,0.99278,0.87632,0.55637,0.2729,1.04419,0.00014633,0.00014633,0.00014633
138,604.656,0.32629,0.23614,0.88686,0.9971,0.96519,0.99278,0.88258,0.54949,0.27536,1.04135,0.000136898,0.000136898,0.000136898
139,609.131,0.2988,0.22715,0.87623,0.99696,0.96483,0.99278,0.87813,0.54781,0.27456,1.04458,0.000127467,0.000127467,0.000127467
140,613.515,0.30818,0.23293,0.87403,0.99695,0.96475,0.99278,0.87915,0.54614,0.28165,1.04564,0.000118035,0.000118035,0.000118035
141,631.487,0.25788,0.20862,0.8344,0.99693,0.96489,0.99278,0.88241,0.54195,0.28075,1.0452,0.000108604,0.000108604,0.000108604
142,635.809,0.24099,0.19173,0.80613,0.99698,0.96488,0.99278,0.89789,0.52273,0.27487,1.02886,9.91726e-05,9.91726e-05,9.91726e-05
143,640.22,0.2497,0.18644,0.86264,0.99682,0.96489,0.99184,0.89256,0.51349,0.27335,1.02333,8.97412e-05,8.97412e-05,8.97412e-05
144,644.529,0.24751,0.19466,0.83743,0.97521,0.99545,0.995,0.88785,0.52728,0.27113,1.0343,8.03098e-05,8.03098e-05,8.03098e-05
145,648.665,0.23529,0.19171,0.82834,0.97483,0.99572,0.995,0.88615,0.53288,0.26953,1.04053,7.08784e-05,7.08784e-05,7.08784e-05
146,653.041,0.24045,0.18329,0.81443,0.99518,0.96441,0.99439,0.88358,0.54768,0.27283,1.05443,6.1447e-05,6.1447e-05,6.1447e-05
147,657.524,0.22465,0.18305,0.82231,0.99526,0.96437,0.99439,0.88111,0.55173,0.27254,1.06048,5.20156e-05,5.20156e-05,5.20156e-05
148,661.995,0.23514,0.18279,0.84295,0.99554,0.96436,0.99439,0.88352,0.54843,0.2736,1.05943,4.25842e-05,4.25842e-05,4.25842e-05
149,666.475,0.23278,0.17866,0.8043,0.99485,0.96329,0.99322,0.88401,0.54467,0.272,1.05674,3.31528e-05,3.31528e-05,3.31528e-05
150,670.716,0.23159,0.18328,0.81723,0.99477,0.96329,0.99322,0.88649,0.54261,0.26828,1.05462,2.37214e-05,2.37214e-05,2.37214e-05
